"","ctry","subj","packet","version","question","batc","entr","date","response"
"120","us",10034,1,1,"demo_chur","second","lucy","2017-12-01","missing data"
"121","us",10034,2,1,"demo_chur","first","dominic","2017-12-05","none"
"122","us",10034,2,1,"demo_chur","second","nikki","2017-12-14","missing data"
"123","us",10038,1,2,"demo_ethn","first","lucy","2017-12-04","african american"
"124","us",10038,1,2,"demo_ethn","second","dominic","2017-12-04","african-american"
"125","us",10038,2,2,"demo_ethn","first","dominic","2017-12-07","african-american"
"126","us",10038,2,2,"demo_ethn","second","nikki","2017-12-15","african american"
"127","us",10038,2,2,"demo_rlgn","first","dominic","2017-12-07","christianity: non specific"
"128","us",10038,2,2,"demo_rlgn","second","nikki","2017-12-15","christian: non specific"
"129","us",10038,3,2,"demo_ethn","first","dominic","2017-12-12","african-america"
"130","us",10038,3,2,"demo_ethn","second","lucy","2017-12-18","african american"
"131","us",10042,3,2,"demo_maj","first","dominic","2017-12-12","bio"
"132","us",10042,3,2,"demo_maj","second","lucy","2017-12-18","biology"
"133","us",10043,3,2,"demo_chur","first","dominic","2017-12-18","n/a"
"134","us",10043,3,2,"demo_chur","second","lucy","2017-12-08",NA
"135","us",10043,3,2,"demo_pocc","first","dominic","2017-12-18","dad: construction / mom: machine driver @ ross inc."
"136","us",10043,3,2,"demo_pocc","second","lucy","2017-12-08","dad - construction / mom - machine driver @ ross, inc."
"137","us",10044,1,1,"demo_chur","first","dominic","2017-12-01","bread & life"
"138","us",10044,1,1,"demo_chur","second","lucy","2017-12-07","bread of life"
"139","us",10044,1,1,"exwl_11","first","dominic","2017-12-01","TRUE"
"140","us",10044,1,1,"exwl_11","second","lucy","2017-12-07","FALSE"
"141","us",10044,3,2,"demo_chur","first","dominic","2017-12-18","very few now/ bread of life"
"142","us",10044,3,2,"demo_chur","second","lucy","2017-12-08","very few now / bread of life"
"143","us",10044,3,2,"demo_pocc","first","dominic","2017-12-18","illegible"
"144","us",10044,3,2,"demo_pocc","second","lucy","2017-12-08","computer engineer"
"145","us",10045,1,1,"demo_chur","first","nikki","2017-12-12","st. patricks"
"146","us",10045,1,1,"demo_chur","second","lucy","2017-12-01","st. patrick's"
"147","us",10045,3,2,"demo_chur","first","dominic","2017-12-18","st patricks"
"148","us",10045,3,2,"demo_chur","second","lucy","2017-12-08","st. patricks"
"149","us",10045,3,2,"demo_pocc","first","dominic","2017-12-18","social work + truck driver"
"150","us",10045,3,2,"demo_pocc","second","lucy","2017-12-08","social work and truck driver"
"151","us",10047,1,2,"demo_pocc","first","dominic","2017-12-04","mother: lvn father: factory worker"
"152","us",10047,1,2,"demo_pocc","second","nikki","2017-12-13","mother: lvn/ father: factory worker"
"153","us",10049,2,2,"demo_chur","first","lucy","2017-12-06",NA
"154","us",10049,2,2,"demo_chur","second","dominic","2017-12-06","none"
"155","us",10050,2,1,"demo_pocc","first","lucy","2017-12-05","dad plumber, mom does not work"
"156","us",10050,2,1,"demo_pocc","second","dominic","2017-12-05","'-dad plumber -mom does not work"
"157","us",10050,3,2,"demo_pocc","first","dominic","2017-12-12","dad - plumber; mom doesn't work"
"158","us",10050,3,2,"demo_pocc","second","lucy","2017-12-08","dad- plumber, mom doesn't work"
"159","us",10050,3,2,"demo_rlgn","first","dominic","2017-12-12","no certain religion"
"160","us",10050,3,2,"demo_rlgn","second","lucy","2017-12-08","religious but unaffiliated"
"161","us",10051,2,1,"demo_chur","first","dominic","2017-12-06","qas (queen of all saints)"
"162","us",10051,2,1,"demo_chur","second","nikki","2017-12-14","q.a.s."
"163","us",10051,3,1,"demo_pocc","first","lucy","2017-12-07","retail / warehouse"
"164","us",10051,3,1,"demo_pocc","second","dominic","2017-12-11","retail/warehouse"
"165","us",10052,1,1,"demo_chur","first","nikki","2017-12-12","n/a"
"166","us",10052,1,1,"demo_chur","second","lucy","2017-12-01",NA
"167","us",10052,1,1,"demo_pocc","first","nikki","2017-12-12","real estate agent"
"168","us",10052,1,1,"demo_pocc","second","lucy","2017-12-01","real state agent"
"169","us",10052,1,1,"demo_tung","first","nikki","2017-12-12","no"
"170","us",10052,1,1,"demo_tung","second","lucy","2017-12-01","missing data"
"171","us",10052,2,1,"demo_chur","first","dominic","2017-12-06","none"
"172","us",10052,2,1,"demo_chur","second","lucy","2017-12-05",NA
"173","us",10052,2,1,"demo_maj","first","dominic","2017-12-06","psychology/art"
"174","us",10052,2,1,"demo_maj","second","lucy","2017-12-05","psychology / art"
"175","us",10052,3,2,"demo_chur","first","dominic","2017-12-13","none"
"176","us",10052,3,2,"demo_chur","second","lucy","2017-12-08",NA
"177","us",10052,3,2,"demo_maj","first","dominic","2017-12-13","psychology/art"
"178","us",10052,3,2,"demo_maj","second","lucy","2017-12-08","psychology / art"
"179","us",10055,2,1,"demo_chur","first","dominic","2017-12-05",NA
"180","us",10055,2,1,"demo_chur","second","nikki","2017-12-14","none"
"181","us",10055,2,1,"demo_pocc","first","dominic","2017-12-05","nurse/accountant"
"182","us",10055,2,1,"demo_pocc","second","nikki","2017-12-14","nurse/ accountant"
"183","us",10055,2,1,"demo_tung","first","dominic","2017-12-05","missing data"
"184","us",10055,2,1,"demo_tung","second","nikki","2017-12-14","no"
"185","us",10055,2,1,"sen2_18","first","dominic","2017-12-05","agree"
"186","us",10055,2,1,"sen2_18","second","nikki","2017-12-14","disagree"
"187","us",10055,3,2,"demo_ethn","first","nikki","2017-11-30","nigerian"
"188","us",10055,3,2,"demo_ethn","second","lucy","2017-11-20",""
"189","us",10055,3,2,"demo_pocc","first","nikki","2017-11-30","nurse/ accountant"
"190","us",10055,3,2,"demo_pocc","second","lucy","2017-11-20","nurse / accountant"
"191","us",10056,1,2,"demo_pocc","first","lucy","2017-12-04","retires u.s. marine"
"192","us",10056,1,2,"demo_pocc","second","dominic","2017-12-04","retired u.s. marine"
"193","us",10056,2,2,"demo_chur","first","dominic","2017-12-07",NA
"194","us",10056,2,2,"demo_chur","second","lucy","2017-12-15","none"
"195","us",10056,2,2,"demo_pocc","first","dominic","2017-12-07","us marine (retired)"
"196","us",10056,2,2,"demo_pocc","second","lucy","2017-12-15","u.s. marine (retired)"
"197","us",10060,3,2,"demo_chur","first","dominic","2017-11-20","saint mark"
"198","us",10060,3,2,"demo_chur","second","nikki","2017-11-29","st. mark"
"199","us",10060,3,2,"demo_ethn","first","dominic","2017-11-20",""
"200","us",10060,3,2,"demo_ethn","second","nikki","2017-11-29","latino"
"201","us",10060,3,2,"demo_pocc","first","dominic","2017-11-20","labor"
"202","us",10060,3,2,"demo_pocc","second","nikki","2017-11-29","labor worker"
"203","us",10060,3,2,"recr","first","dominic","2017-11-20","face to face"
"204","us",10060,3,2,"recr","second","nikki","2017-11-29","random sample"
"205","us",10060,3,2,"wher","first","dominic","2017-11-20","sjsu"
"206","us",10060,3,2,"wher","second","nikki","2017-11-29","sjsu res hall"
"207","us",10061,3,1,"demo_maj","first","dominic","2017-12-07","bio"
"208","us",10061,3,1,"demo_maj","second","lucy","2017-12-15","biology"
"209","us",10061,3,1,"demo_tung","first","dominic","2017-12-07","missing data"
"210","us",10061,3,1,"demo_tung","second","lucy","2017-12-15","no"
"211","us",10062,2,2,"demo_tung","first","dominic","2017-12-07","missing data"
"212","us",10062,2,2,"demo_tung","second","lucy","2017-12-15","no"
"213","us",10062,3,1,"demo_maj","first","dominic","2017-12-11","software engineering"
"214","us",10062,3,1,"demo_maj","second","lucy","2017-12-07","software engineer"
"215","us",10065,1,2,"demo_ethn","first","lucy","2017-12-04","white / bolivian"
"216","us",10065,1,2,"demo_ethn","second","dominic","2017-12-05","white/bolivian"
"217","us",10068,3,1,"demo_tung","first","dominic","2017-12-11","missing data"
"218","us",10068,3,1,"demo_tung","second","lucy","2017-12-07","no"
"219","us",10069,1,1,"demo_chur","first","lucy","2017-11-22","st. agustine"
"220","us",10069,1,1,"demo_chur","second","dominic","2017-11-20","saint augustine"
"221","us",10069,1,1,"demo_maj","first","lucy","2017-11-22","pre nursing"
"222","us",10069,1,1,"demo_maj","second","dominic","2017-11-20","pre-nursing"
"223","us",10069,1,1,"wher...Topics","first","lucy","2017-11-22",""
"224","us",10069,1,1,"wher...Topics","second","dominic","2017-11-20","unknown"
"225","us",10069,2,1,"demo_chur","first","lucy","2017-11-20","saint augustine"
"226","us",10069,2,1,"demo_chur","second","dominic","2017-11-22","st. augustine"
"227","us",10070,1,2,"demo_chur","first","dominic","2017-12-05","none"
"228","us",10070,1,2,"demo_chur","second","nikki","2017-12-14","n/a"
"229","us",10070,1,2,"demo_ethn","first","dominic","2017-12-05","salvadoran"
"230","us",10070,1,2,"demo_ethn","second","nikki","2017-12-14","salvadorian"
"231","us",10070,1,2,"demo_tung","first","dominic","2017-12-05","missing data"
"232","us",10070,1,2,"demo_tung","second","nikki","2017-12-14","no"
"233","us",10070,1,2,"spev_02","first","dominic","2017-12-05","i don't know"
"234","us",10070,1,2,"spev_02","second","nikki","2017-12-14","missing data"
"235","us",10070,1,2,"spev_03","first","dominic","2017-12-05","i don't know"
"236","us",10070,1,2,"spev_03","second","nikki","2017-12-14","missing data"
"237","us",10071,3,1,"demo_maj","first","lucy","2017-12-07","creative art"
"238","us",10071,3,1,"demo_maj","second","dominic","2017-12-11","creative arts"
"239","us",10073,3,2,"demo_chur","first","lucy","2017-12-07","none"
"240","us",10073,3,2,"demo_chur","second","dominic","2017-12-12",NA
"241","us",10073,3,2,"demo_pocc","first","lucy","2017-12-07","hospital civic"
"242","us",10073,3,2,"demo_pocc","second","dominic","2017-12-12","hospital nurse"
"243","us",10073,3,2,"demo_tung","first","lucy","2017-12-07","no"
"244","us",10073,3,2,"demo_tung","second","dominic","2017-12-12","missing data"
"245","us",10074,1,1,"demo_chur","first","dominic","2017-12-01",NA
"246","us",10074,1,1,"demo_chur","second","nikki","2017-12-12","none"
"247","us",10074,1,1,"demo_ethn","first","dominic","2017-12-01","white mexican"
"248","us",10074,1,1,"demo_ethn","second","nikki","2017-12-12","white/ mexican"
"249","us",10074,2,2,"demo_ethn","first","nikki","2017-12-15","white/ mexican"
"250","us",10074,2,2,"demo_ethn","second","lucy","2017-12-06","white /mexican"
"251","us",10074,2,2,"demo_pocc","first","nikki","2017-12-15","police officer"
"252","us",10074,2,2,"demo_pocc","second","lucy","2017-12-06","police officers"
"253","us",10074,2,2,"invo_newlab_2","first","nikki","2017-12-15","neither agree nor disagree"
"254","us",10074,2,2,"invo_newlab_2","second","lucy","2017-12-06","disagree"
"255","us",10074,3,2,"demo_chur","first","lucy","2017-12-08","none"
"256","us",10074,3,2,"demo_chur","second","dominic","2017-12-12",NA
"257","us",10075,1,1,"demo_chur","first","dominic","2017-12-01","none"
"258","us",10075,1,1,"demo_chur","second","lucy","2017-12-01","no"
"259","us",10075,1,1,"demo_maj","first","dominic","2017-12-01","psych"
"260","us",10075,1,1,"demo_maj","second","lucy","2017-12-01","psychology"
"261","us",10075,1,1,"demo_tung","first","dominic","2017-12-01","missing data"
"262","us",10075,1,1,"demo_tung","second","lucy","2017-12-01","no"
"263","us",10075,2,1,"demo_chur","first","dominic","2017-12-06","none"
"264","us",10075,2,1,"demo_chur","second","lucy","2017-12-05","no"
"265","us",10075,2,1,"demo_tung","first","dominic","2017-12-06","missing data"
"266","us",10075,2,1,"demo_tung","second","lucy","2017-12-05","no"
"267","us",10075,3,2,"demo_ethn","first","dominic","2017-12-13","white & peruvian"
"268","us",10075,3,2,"demo_ethn","second","lucy","2017-12-18","white and peruvian"
"269","us",10075,3,2,"demo_pocc","first","dominic","2017-12-13","computer systems analysis & child care"
"270","us",10075,3,2,"demo_pocc","second","lucy","2017-12-18","computer systems analysis and child care"
"271","us",10075,3,2,"demo_tung","first","dominic","2017-12-13","missing data"
"272","us",10075,3,2,"demo_tung","second","lucy","2017-12-18","no"
"273","us",10075,3,2,"enco_03","first","dominic","2017-12-13","once/year"
"274","us",10075,3,2,"enco_03","second","lucy","2017-12-18","more than once/year"
"275","us",10075,3,2,"minw_07","first","dominic","2017-12-13","missing data"
"276","us",10075,3,2,"minw_07","second","lucy","2017-12-18","i agree"
"277","us",10077,3,1,"demo_chur","first","dominic","2017-12-11",NA
"278","us",10077,3,1,"demo_chur","second","lucy","2017-12-15","none, na"
"279","us",10077,3,1,"demo_pocc","first","dominic","2017-12-11","massage therapist"
"280","us",10077,3,1,"demo_pocc","second","lucy","2017-12-15","message therapist"
"281","us",10077,3,1,"demo_tung","first","dominic","2017-12-11","missing data"
"282","us",10077,3,1,"demo_tung","second","lucy","2017-12-15","no"
"283","us",10078,1,1,"demo_chur","first","dominic","2017-12-04",NA
"284","us",10078,1,1,"demo_chur","second","nikki","2017-12-12","none"
"285","us",10078,1,1,"demo_maj","first","dominic","2017-12-04","computer enigneers"
"286","us",10078,1,1,"demo_maj","second","nikki","2017-12-12","computer engineer"
"287","us",10078,1,1,"demo_tung","first","dominic","2017-12-04","missing data"
"288","us",10078,1,1,"demo_tung","second","nikki","2017-12-12","no"
"289","us",10078,2,2,"demo_chur","first","lucy","2017-12-06","none"
"290","us",10078,2,2,"demo_chur","second","dominic","2017-12-07",NA
"291","us",10078,2,2,"demo_ethn","first","lucy","2017-12-06","american / mexican"
"292","us",10078,2,2,"demo_ethn","second","dominic","2017-12-07","american/mexican"
"293","us",10078,2,2,"demo_tung","first","lucy","2017-12-06","no"
"294","us",10078,2,2,"demo_tung","second","dominic","2017-12-07","missing data"
"295","us",10078,2,2,"sen2_20","first","lucy","2017-12-06","neither agree nor disagree"
"296","us",10078,2,2,"sen2_20","second","dominic","2017-12-07","missing data"
"297","us",10078,3,2,"demo_chur","first","dominic","2017-12-18",NA
"298","us",10078,3,2,"demo_chur","second","lucy","2017-12-08","none"
"299","us",10078,3,2,"demo_ethn","first","dominic","2017-12-18","american/mexican"
"300","us",10078,3,2,"demo_ethn","second","lucy","2017-12-08","american / mexican"
"301","us",10078,3,2,"demo_tung","first","dominic","2017-12-18","missing data"
"302","us",10078,3,2,"demo_tung","second","lucy","2017-12-08","no"
"303","us",10080,1,2,"demo_tung","first","dominic","2017-12-05","missing data"
"304","us",10080,1,2,"demo_tung","second","lucy","2017-12-04","no"
"305","us",10083,2,2,"demo_pocc","first","nikki","2017-12-15","saw-mill"
"306","us",10083,2,2,"demo_pocc","second","lucy","2017-12-06","saw - mill"
"307","us",10086,2,1,"demo_chur","first","dominic","2017-12-05","none"
"308","us",10086,2,1,"demo_chur","second","lucy","2017-12-05",NA
"309","us",10086,2,1,"demo_ethn","first","dominic","2017-12-05","latino/hispanic"
"310","us",10086,2,1,"demo_ethn","second","lucy","2017-12-05","latino / hispanic"
"311","us",10086,2,1,"demo_tung","first","dominic","2017-12-05","missing data"
"312","us",10086,2,1,"demo_tung","second","lucy","2017-12-05","no"
"313","us",10086,2,1,"sen_25","first","dominic","2017-12-05","missing data"
"314","us",10086,2,1,"sen_25","second","lucy","2017-12-05","agree"
"315","us",10086,3,1,"demo_chur","first","dominic","2017-12-11","none"
"316","us",10086,3,1,"demo_chur","second","lucy","2017-12-15",NA
"317","us",10086,3,1,"demo_tung","first","dominic","2017-12-11","missing data"
"318","us",10086,3,1,"demo_tung","second","lucy","2017-12-15","no"
"319","us",10087,1,2,"demo_chur","first","nikki","2017-12-13","n/a"
"320","us",10087,1,2,"demo_chur","second","lucy","2017-12-04",NA
"321","us",10087,2,2,"demo_chur","first","lucy","2017-12-06",NA
"322","us",10087,2,2,"demo_chur","second","dominic","2017-12-07","none"
"323","us",10087,2,2,"demo_tung","first","lucy","2017-12-06","no"
"324","us",10087,2,2,"demo_tung","second","dominic","2017-12-07","missing data"
"325","us",10087,3,2,"demo_chur","first","dominic","2017-12-18","none"
"326","us",10087,3,2,"demo_chur","second","lucy","2017-12-07",NA
"327","us",10088,1,2,"demo_rlgn","first","lucy","2017-12-05","christian: catholic"
"328","us",10088,1,2,"demo_rlgn","second","dominic","2017-12-05","missing data"
"329","us",10089,2,1,"demo_chur","first","dominic","2017-12-05",NA
"330","us",10089,2,1,"demo_chur","second","nikki","2017-12-14","n/a"
"331","us",10091,1,1,"demo_tung","first","dominic","2017-12-04","missing data"
"332","us",10091,1,1,"demo_tung","second","lucy","2017-12-01","no"
"333","us",10091,2,1,"demo_tung","first","dominic","2017-12-06","missing data"
"334","us",10091,2,1,"demo_tung","second","lucy","2017-12-05","no"
"335","us",10091,3,1,"demo_chur","first","dominic","2017-12-11",NA
"336","us",10091,3,1,"demo_chur","second","lucy","2017-12-15","none"
"337","us",10091,3,1,"demo_tung","first","dominic","2017-12-11","missing data"
"338","us",10091,3,1,"demo_tung","second","lucy","2017-12-15","no"
"339","us",10094,3,1,"demo_tung","first","dominic","2017-12-11","missing data"
"340","us",10094,3,1,"demo_tung","second","lucy","2017-12-07","yes"
"341","us",10096,2,2,"demo_tung","first","dominic","2017-12-07","missing data"
"342","us",10096,2,2,"demo_tung","second","lucy","2017-12-06","no"
"343","us",10096,3,2,"demo_maj","first","dominic","2017-12-18","aerospace engineer"
"344","us",10096,3,2,"demo_maj","second","lucy","2017-12-08","aerospace engineering"
"345","us",10097,1,2,"demo_maj","first","dominic","2017-12-05","psych"
"346","us",10097,1,2,"demo_maj","second","nikki","2017-12-14","psychology"
"347","us",10097,1,2,"demo_tung","first","dominic","2017-12-05","missing data"
"348","us",10097,1,2,"demo_tung","second","nikki","2017-12-14","no"
"349","us",10097,2,1,"demo_tung","first","dominic","2017-12-05","missing data"
"350","us",10097,2,1,"demo_tung","second","lucy","2017-12-05","no"
"351","us",10100,1,1,"demo_chur","first","nikki","2017-12-12","n/a"
"352","us",10100,1,1,"demo_chur","second","lucy","2017-12-01",NA
"353","us",10100,2,1,"demo_chur","first","dominic","2017-12-05","none"
"354","us",10100,2,1,"demo_chur","second","nikki","2017-12-14","n/a"
"355","us",10100,2,1,"demo_tung","first","dominic","2017-12-05","missing data"
"356","us",10100,2,1,"demo_tung","second","nikki","2017-12-14","no"
"357","us",10100,3,1,"demo_chur","first","lucy","2017-12-07",NA
"358","us",10100,3,1,"demo_chur","second","dominic","2017-12-11","none"
"359","us",10100,3,1,"demo_tung","first","lucy","2017-12-07","no"
"360","us",10100,3,1,"demo_tung","second","dominic","2017-12-11","missing data"
"361","us",10102,3,1,"demo_chur","first","dominic","2017-12-07","none"
"362","us",10102,3,1,"demo_chur","second","lucy","2017-12-06",NA
"363","us",10102,3,1,"demo_pocc","first","dominic","2017-12-07","assistant vet"
"364","us",10102,3,1,"demo_pocc","second","lucy","2017-12-06","assistant vet."
"365","us",10102,3,1,"demo_tung","first","dominic","2017-12-07","missing data"
"366","us",10102,3,1,"demo_tung","second","lucy","2017-12-06","no"
"367","us",10104,1,1,"demo_ethn","first","dominic","2017-11-29","latino/a"
"368","us",10104,1,1,"demo_ethn","second","lucy","2017-11-30","latino"
"369","us",10104,1,1,"demo_rlgn","first","dominic","2017-11-29","missing data"
